filename;spotify_url;categoria;revisar;type
Vundabar - Alien Blues;https://open.spotify.com/track/11iIikXxC6NP0Ma8vMD27x;alta-agresiva;FALSE;train
My Chemical Romance - Teenagers;https://open.spotify.com/track/7j31rVgGX9Q2blT92VBEA0;alta-agresiva;FALSE;train
Ace of Base - Happy Nation;https://open.spotify.com/track/7yCF65vpc7sUwPjftI0iFb;baja-ritmica;TRUE;train
Jósean Log - Doma;https://open.spotify.com/track/58cLm4PaHNt8DDr9ayZnNz;alta-ritmica;TRUE;train
Kansas - Dust in the Wind;https://open.spotify.com/track/6zeE5tKyr8Nu882DQhhSQI;baja-contemplativa;FALSE;train
Gilbert O'Sullivan - Alone Again (Naturally);https://open.spotify.com/track/54pvEYFocTlvIAQOfXSjqV;baja-contemplativa;FALSE;train
JAWNY - lalala;https://open.spotify.com/track/2pCR7dwwRpeAAnpUr1Ekwz;baja-ritmica;FALSE;train
Michael Sembello - Maniac;https://open.spotify.com/track/0QKfiqpEU4h9ycPSzIFwYe;baja-ritmica;FALSE;train
Barry Manilow - Can't Smile Without You;https://open.spotify.com/track/7qUTZEf6bgiApJEXpMAH5y;incrementable-decreciente;FALSE;train
Radiohead - Exit Music (For A Film);https://open.spotify.com/track/0z1o5L7HJx562xZSATcIpY;incrementable-decreciente;FALSE;train
Radiohead - Street Spirit (Fade Out);https://open.spotify.com/track/2QwObYJWyJTiozvs0RI7CF;baja-contemplativa;FALSE;train
Radiohead - No Surprises;https://open.spotify.com/track/10nyNJ6zNy2YVYLrcwLccB;baja-contemplativa;FALSE;train
The Beatles - Yesterday - Remastered 2009;https://open.spotify.com/track/3BQHpFgAp4l80e1XslIjNI;baja-contemplativa;FALSE;train
Beach House - Space Song;https://open.spotify.com/track/1ujxjsoNvh4XgS2fUNwkZ2;baja-contemplativa;FALSE;train
Louis Armstrong - What A Wonderful World;https://open.spotify.com/track/29U7stRjqHU6rMiS8BfaI9;baja-contemplativa;FALSE;train
Jim Croce - Time in a Bottle;https://open.spotify.com/track/7uWFUpGuEfmxYeymkV95jn;baja-contemplativa;FALSE;train
The Beatles - And I Love Her - Remastered 2009;https://open.spotify.com/track/65vdMBskhx3akkG9vQlSH1;baja-contemplativa;FALSE;train
The Beatles - Michelle - Remastered 2009;https://open.spotify.com/track/5By7Pzgl6TMuVJG168VWzS;baja-contemplativa;FALSE;train
Tally Hall - Hidden In the Sand;https://open.spotify.com/track/0RjG5JmdOWXAR68dGlKBA5;baja-contemplativa;FALSE;train
Billie Eilish - bad guy;https://open.spotify.com/track/2Fxmhks0bxGSBdJ92vM42m;baja-ritmica;TRUE;train
Blondie - Maria - Radio Edit;https://open.spotify.com/track/4yHHx0rMvgCOoYoDWNdcR3;incrementable-decreciente;TRUE;train
George Harrison - My Sweet Lord - 2014 Remaster;https://open.spotify.com/track/0KZodeWxqxd88F9wY1cqgs;baja-ritmica;FALSE;train
Roberta Flack - Killing Me Softly With His Song;https://open.spotify.com/track/3gsCAGsWr6pUm1Vy7CPPob;baja-ritmica;FALSE;train
Eagles - Hotel California - 2013 Remaster;https://open.spotify.com/track/40riOy7x9W7GXjyGp4pjAv;baja-ritmica;FALSE;train
Boney M. - Sunny;https://open.spotify.com/track/3pf96IFggfQuT6Gafqx2rt;baja-ritmica;TRUE;train
Demis Roussos - Forever and Ever;https://open.spotify.com/track/72MJeNXJ3LKfa73U4WrEtA;baja-ritmica;TRUE;train
The Beatles - Eleanor Rigby - Remastered 2009;https://open.spotify.com/track/5GjPQ0eI7AgmOnADn1EO6Q;baja-ritmica;FALSE;train
The Smiths - There Is a Light That Never Goes Out - 2011 Remaster;https://open.spotify.com/track/0WQiDwKJclirSYG9v5tayI;baja-ritmica;FALSE;train
Elton John - Rocket Man (I Think It's Going To Be A Long, Long Time);https://open.spotify.com/track/3gdewACMIVMEWVbyb8O9sY;baja-ritmica;FALSE;train
Gilbert O'Sullivan - Clair;https://open.spotify.com/track/6yzN1aLjcsP5coOUZPOrJb;baja-ritmica;FALSE;train
Ace of Base - All That She Wants;https://open.spotify.com/track/6kWJvPfC4DgUpRsXKNa9z9;baja-ritmica;FALSE;train
Sia - Snowman;https://open.spotify.com/track/7uoFMmxln0GPXQ0AcCBXRq;baja-ritmica;FALSE;train
Modern Talking - Cheri Cheri Lady;https://open.spotify.com/track/2aEuA8PSqLa17Y4hKPj5rr;baja-ritmica;FALSE;train
The Beatles - Here Comes The Sun - Remastered 2009;https://open.spotify.com/track/6dGnYIeXmHdcikdzNNDMm2;baja-ritmica;FALSE;train
Donna Summer - On The Radio;https://open.spotify.com/track/41v23mPw4Se92JKUGvnkmW;baja-ritmica;TRUE;train
Frank Sinatra - My Way;https://open.spotify.com/track/3spdoTYpuCpmq19tuD0bOe;incrementable-decreciente;TRUE;train
The Beatles - Come Together - Remastered 2009;https://open.spotify.com/track/2EqlS6tkEnglzr7tkKAAYD;baja-ritmica;FALSE;train
Kitty Kallen, Harry James - It's Been a Long, Long Time (with Harry James & His Orchestra);https://open.spotify.com/track/61sVa3rLHOYqrshahMJj0A;baja-ritmica;TRUE;train
Tears For Fears - Everybody Wants To Rule The World;https://open.spotify.com/track/4RvWPyQ5RL0ao9LPZeSouE;baja-ritmica;FALSE;train
Bruno Mars - The Lazy Song;https://open.spotify.com/track/386RUes7n1uM1yfzgeUuwp;baja-ritmica;FALSE;train
Los Retros - Amtrak;https://open.spotify.com/track/5F6ekGcdu623mkhTVgk64Z;baja-ritmica;TRUE;train
Marmalade - Reflections Of My Life;https://open.spotify.com/track/51vio68HmRHQr6lCWxboM9;incrementable-decreciente;TRUE;train
Desireless - Voyage voyage;https://open.spotify.com/track/2d8D7uk3tbAThjRkdfrx9c;baja-ritmica;FALSE;train
The Ronettes - Be My Baby;https://open.spotify.com/track/1WN4uNclrDuczTO3bCr8s1;baja-ritmica;FALSE;train
America, George Martin - A Horse with No Name;https://open.spotify.com/track/54eZmuggBFJbV7k248bTTt;baja-ritmica;FALSE;train
Harry Styles - As It Was;https://open.spotify.com/track/4Dvkj6JhhA12EX05fT7y2e;baja-ritmica;FALSE;train
Marty Balin - Hearts;https://open.spotify.com/track/150LOyOS0ISsZ9IcwPf6iT;baja-ritmica;TRUE;train
Kylie Minogue - Can't Get You out of My Head;https://open.spotify.com/track/3E7ZwUMJFqpsDOJzEkBrQ7;baja-ritmica;FALSE;train
The Strokes - The Adults Are Talking;https://open.spotify.com/track/5ruzrDWcT0vuJIOMW7gMnW;baja-ritmica;FALSE;train
Santo & Johnny - Sleep Walk;https://open.spotify.com/track/0yK8sWD6cfrc7pGfaPIcZH;baja-contemplativa;FALSE;train
The Drums - I Don't Know How To Love;https://open.spotify.com/track/2YvWonOJesvP0yu9IFJY7S;baja-ritmica;FALSE;train
ABBA - Lay All Your Love On Me;https://open.spotify.com/track/4euAGZTszWPrriggYK0HG9;alta-ritmica;FALSE;train
Alphaville - Big in Japan;https://open.spotify.com/track/3BZGi1yUqQyCNC868AqUGG;alta-ritmica;FALSE;train
Bee Gees - Stayin' Alive;https://open.spotify.com/track/4UDmDIqJIbrW0hMBQMFOsM;alta-ritmica;FALSE;train
Bee Gees - Tragedy;https://open.spotify.com/track/6UXXeFqMBGiqjkzQzkMT3E;alta-ritmica;FALSE;train
Boney M. - Gotta Go Home;https://open.spotify.com/track/4MvGHDenL4t9JW1RHB4rK2;alta-ritmica;FALSE;train
Boney M. - Rasputin;https://open.spotify.com/track/5lWSa1rmuSL6OBPOnkAqoa;alta-ritmica;FALSE;train
Bruno Mars - Locked out of Heaven;https://open.spotify.com/track/3w3y8KPTfNeOKPiqUTakBh;alta-ritmica;FALSE;train
Earth, Wind & Fire - September;https://open.spotify.com/track/3kXoKlD84c6OmIcOLfrfEs;alta-ritmica;FALSE;train
Earth, Wind & Fire, The Emotions - Boogie Wonderland (with The Emotions);https://open.spotify.com/track/6ztstiyZL6FXzh4aG46ZPD;alta-ritmica;FALSE;train
Elvis Presley - Jailhouse Rock;https://open.spotify.com/track/452KBpASS5lZLeJWX9Ixub;alta-ritmica;FALSE;train
Gilbert O'Sullivan - What's In a Kiss - Guitar Version;https://open.spotify.com/track/1DUhoEeBRBSzMFumpoLNkV;alta-ritmica;FALSE;train
La Bouche - Be My Lover;https://open.spotify.com/track/3YB6nCSuFqNiqOvPtAPK9X;alta-ritmica;FALSE;train
Lipps Inc. - Designer Music;https://open.spotify.com/track/5aVvVMwfFwu5JSoMFZojDE;alta-ritmica;FALSE;train
Michael Jackson - Beat It;https://open.spotify.com/track/3BovdzfaX4jb5KFQwoPfAw;alta-ritmica;FALSE;train
Muse - Supermassive Black Hole;https://open.spotify.com/track/3lPr8ghNDBLc2uZovNyLs9;alta-ritmica;FALSE;train
Nazareth - Love Hurts - Single Edit;https://open.spotify.com/track/6MXUZ4VRQ41qTPWKgvHMCK;alta-ritmica;TRUE;train
Pink Floyd - Another Brick in the Wall, Pt. 2;https://open.spotify.com/track/4gMgiXfqyzZLMhsksGmbQV;alta-ritmica;FALSE;train
Rick James - Super Freak;https://open.spotify.com/track/2dCmGcEOQrMQhMMS8Vj7Ca;alta-ritmica;FALSE;train
Ritchie Valens - La Bamba - Single Version;https://open.spotify.com/track/2aEeghgUcnu75tzcolFMfs;alta-ritmica;FALSE;train
Rod Stewart - Young Turks;https://open.spotify.com/track/6sBA8b9bT8Z8G8TkVDvNTK;alta-ritmica;FALSE;train
Roy Orbison - Oh, Pretty Woman;https://open.spotify.com/track/48i055G1OT5KxGGftwFxWy;alta-ritmica;FALSE;train
Neil Sedaka - Oh! Carol;https://open.spotify.com/track/5zvOXJrzzUlvXwyuwZ0toZ;alta-ritmica;TRUE;train
The Beach Boys - I Get Around (Mono);https://open.spotify.com/track/3v9xlH6BpmRbqL7hgNJhfT;alta-ritmica;FALSE;train
The Beatles - Can't Buy Me Love - Remastered 2009;https://open.spotify.com/track/3SdingSsFcZDZAyvcJbgAw;alta-ritmica;FALSE;train
The Clash - Should I Stay or Should I Go - Remastered;https://open.spotify.com/track/39shmbIHICJ2Wxnk1fPSdz;alta-ritmica;FALSE;train
The Cure - Boys Don't Cry;https://open.spotify.com/track/1QFh8OH1e78dGd3VyJZCAC;alta-ritmica;FALSE;train
The Hollies - Long Cool Woman (In a Black Dress) - 1999 Remaster;https://open.spotify.com/track/1J5XEPamp7iQaCU0aFuMnd;alta-ritmica;FALSE;train
The Human League - Don't You Want Me;https://open.spotify.com/track/3L7RtEcu1Hw3OXrpnthngx;alta-ritmica;FALSE;train
The Monkees - I'm a Believer - 2006 Remaster;https://open.spotify.com/track/3G7tRC24Uh09Hmp1KZ7LQ2;alta-ritmica;FALSE;train
Queen - Crazy Little Thing Called Love - Remastered 2011;https://open.spotify.com/track/6xdLJrVj4vIXwhuG8TMopk;baja-ritmica;TRUE;train
The Rolling Stones - Paint It, Black;https://open.spotify.com/track/63T7DJ1AFDD6Bn8VzG6JE8;alta-ritmica;FALSE;train
Rupert Holmes - Escape (The Pina Colada Song);https://open.spotify.com/track/5IMtdHjJ1OtkxbGe4zfUxQ;baja-ritmica;TRUE;train
Tina Charles - I Love to Love;https://open.spotify.com/track/5jWI1xNxABzDRFTnD2yp8L;alta-ritmica;FALSE;train
Twenty One Pilots - Stressed Out;https://open.spotify.com/track/3CRDbSIZ4r5MsZ0YwxuEkn;alta-ritmica;FALSE;train
Blondie - One Way Or Another;https://open.spotify.com/track/1gKmnrz6SzJlGMNRKBLx1V;alta-agresiva;FALSE;train
